Bike_Name,Rating,Total_Ratings,Engine_CC,Mileage,Power_BHP,Weight_KG,Price
Triumph Speed 400,3.7,30 Ratings,349 cc,28 kmpl,36.49 bhp,179 kg,"₹ 2,34,296"
EV,TVS iQube,770 Ratings,124.8 cc,35 kmpl,20.2 bhp,129.7 kg,"₹ 1,13,742"
EV,Bajaj Chetak,651 Ratings,124.8 cc,35 kmpl,20.2 bhp,195 kg,"₹ 1,10,922"
Bajaj Pulsar N160,4.6,1217 Ratings,164.82 cc,51.6 kmpl,15.68 bhp,152 kg,"₹ 1,16,504"
TVS Ronin,4.6,1081 Ratings,225.9 cc,42 kmpl,20.1 bhp,160 kg,"₹ 1,28,731"
Royal Enfield Hunter 350,4.7,1562 Ratings,349.34 cc,36.2 kmpl,20.2 bhp,181 kg,"₹ 1,37,648"
Royal Enfield Classic 350,4.7,1302 Ratings,349 cc,35 kmpl,20.2 bhp,195 kg,"₹ 1,85,859"
Royal Enfield Bullet 350,4.7,1493 Ratings,349 cc,35 kmpl,20.2 bhp,195 kg,"₹ 1,64,431"
TVS Raider 125,4.4,2899 Ratings,124.8 cc,56.7 kmpl,11.2 bhp,123 kg,"₹ 85,344"
TVS Apache RTR 160,4.5,3325 Ratings,159.7 cc,61 kmpl,15.82 bhp,138 kg,"₹ 1,09,971"
Yamaha R15 V4,4.8,1519 Ratings,155 cc,46 kmpl,18.1 bhp,141 kg,"₹ 1,71,982"
Honda SP 125,4.6,4405 Ratings,123.94 cc,63 kmpl,10.72 bhp,117 kg,"₹ 89,406"
Yamaha MT 15 V2,4.7,1822 Ratings,155 cc,47 kmpl,18.1 bhp,141 kg,"₹ 1,63,798"
Royal Enfield Continental GT 650,4.8,1498 Ratings,648 cc,25 kmpl,47 bhp,211 kg,"₹ 3,52,687"
Hero Xtreme 125R,4.6,1827 Ratings,124.7 cc,66 kmpl,11.4 bhp,136 kg,"₹ 92,843"
Bajaj Pulsar NS200,4.7,3314 Ratings,199.5 cc,36 kmpl,24.13 bhp,158 kg,"₹ 1,36,755"
Royal Enfield Guerrilla 450,4.5,45 Ratings,452 cc,28 kmpl,39.47 bhp,185 kg,"₹ 2,49,194"
TVS Jupiter 125,4.1,889 Ratings,124.8 cc,50 kmpl,8.04 bhp,108 kg,"₹ 85,125"
Honda Activa,4.4,4124 Ratings,109.51 cc,47 kmpl,7.88 bhp,105 kg,"₹ 78,166"
Royal Enfield Meteor 350,4.7,202 Ratings,349.34 cc,32 kmpl,20.2 bhp,191 kg,"₹ 1,98,646"
Jawa 42 Bobber,4.6,428 Ratings,334 cc,30 kmpl,29.51 bhp,185 kg,"₹ 1,95,313"
TVS Ntorq 125,4.4,2277 Ratings,124.8 cc,48.5 kmpl,9.25 bhp,116 kg,"₹ 88,438"
Royal Enfield Himalayan 450,4.7,382 Ratings,451.65 cc,29 kmpl,39.47 bhp,195 kg,"₹ 3,05,723"
Bajaj Pulsar 125,4.4,1653 Ratings,124.4 cc,50 kmpl,11.64 bhp,140 kg,"₹ 82,420"
Yamaha XSR 155,4.6,222 Ratings,155 cc,46 kmpl,18.1 bhp,137 kg,"₹ 1,50,957"
KTM 250 Duke,4.8,423 Ratings,249.07 cc,31 kmpl,30.57 bhp,162.8 kg,"₹ 2,20,871"
Bajaj Pulsar NS125,4.5,953 Ratings,124.45 cc,46.9 kmpl,11.8 bhp,144 kg,"₹ 94,048"
Suzuki Access 125,4.6,1005 Ratings,Suzuki Access 125,47 kmpl,8.3 bhp,105 kg,"₹ 83,119"
Bajaj Pulsar N250,4.6,405 Ratings,249 cc,44 kmpl,24.1 bhp,162 kg,"₹ 1,38,823"
Harley-Davidson X440,4.8,783 Ratings,440 cc,35 kmpl,27 bhp,190.5 kg,"₹ 2,35,016"
Triumph Speed 400,3.7,30 Ratings,349 cc,28 kmpl,36.49 bhp,179 kg,"₹ 2,34,296"
EV,TVS iQube,770 Ratings,124.8 cc,35 kmpl,20.2 bhp,129.7 kg,"₹ 1,13,742"
EV,Bajaj Chetak,651 Ratings,124.8 cc,35 kmpl,20.2 bhp,195 kg,"₹ 1,10,922"
Bajaj Pulsar N160,4.6,1217 Ratings,164.82 cc,51.6 kmpl,15.68 bhp,152 kg,"₹ 1,16,504"
TVS Ronin,4.6,1081 Ratings,225.9 cc,42 kmpl,20.1 bhp,160 kg,"₹ 1,28,731"
Royal Enfield Hunter 350,4.7,1562 Ratings,349.34 cc,36.2 kmpl,20.2 bhp,181 kg,"₹ 1,37,648"
Royal Enfield Classic 350,4.7,1302 Ratings,349 cc,35 kmpl,20.2 bhp,195 kg,"₹ 1,85,859"
Royal Enfield Bullet 350,4.7,1493 Ratings,349 cc,35 kmpl,20.2 bhp,195 kg,"₹ 1,64,431"
TVS Raider 125,4.4,2899 Ratings,124.8 cc,56.7 kmpl,11.2 bhp,123 kg,"₹ 85,344"
TVS Apache RTR 160,4.5,3325 Ratings,159.7 cc,61 kmpl,15.82 bhp,138 kg,"₹ 1,09,971"
Yamaha R15 V4,4.8,1519 Ratings,155 cc,46 kmpl,18.1 bhp,141 kg,"₹ 1,71,982"
Honda SP 125,4.6,4405 Ratings,123.94 cc,63 kmpl,10.72 bhp,117 kg,"₹ 89,406"
Yamaha MT 15 V2,4.7,1822 Ratings,155 cc,47 kmpl,18.1 bhp,141 kg,"₹ 1,63,798"
Royal Enfield Continental GT 650,4.8,1498 Ratings,648 cc,25 kmpl,47 bhp,211 kg,"₹ 3,52,687"
Hero Xtreme 125R,4.6,1827 Ratings,124.7 cc,66 kmpl,11.4 bhp,136 kg,"₹ 92,843"
Bajaj Pulsar NS200,4.7,3314 Ratings,199.5 cc,36 kmpl,24.13 bhp,158 kg,"₹ 1,36,755"
Royal Enfield Guerrilla 450,4.5,45 Ratings,452 cc,28 kmpl,39.47 bhp,185 kg,"₹ 2,49,194"
TVS Jupiter 125,4.1,889 Ratings,124.8 cc,50 kmpl,8.04 bhp,108 kg,"₹ 85,125"
Honda Activa,4.4,4124 Ratings,109.51 cc,47 kmpl,7.88 bhp,105 kg,"₹ 78,166"
Royal Enfield Meteor 350,4.7,202 Ratings,349.34 cc,32 kmpl,20.2 bhp,191 kg,"₹ 1,98,646"
Jawa 42 Bobber,4.6,428 Ratings,334 cc,30 kmpl,29.51 bhp,185 kg,"₹ 1,95,313"
TVS Ntorq 125,4.4,2277 Ratings,124.8 cc,48.5 kmpl,9.25 bhp,116 kg,"₹ 88,438"
Royal Enfield Himalayan 450,4.7,382 Ratings,451.65 cc,29 kmpl,39.47 bhp,195 kg,"₹ 3,05,723"
Bajaj Pulsar 125,4.4,1653 Ratings,124.4 cc,50 kmpl,11.64 bhp,140 kg,"₹ 82,420"
Yamaha XSR 155,4.6,222 Ratings,155 cc,46 kmpl,18.1 bhp,137 kg,"₹ 1,50,957"
KTM 250 Duke,4.8,423 Ratings,249.07 cc,31 kmpl,30.57 bhp,162.8 kg,"₹ 2,20,871"
Bajaj Pulsar NS125,4.5,953 Ratings,124.45 cc,46.9 kmpl,11.8 bhp,144 kg,"₹ 94,048"
Suzuki Access 125,4.6,1005 Ratings,Suzuki Access 125,47 kmpl,8.3 bhp,105 kg,"₹ 83,119"
Bajaj Pulsar N250,4.6,405 Ratings,249 cc,44 kmpl,24.1 bhp,162 kg,"₹ 1,38,823"
Harley-Davidson X440,4.8,783 Ratings,440 cc,35 kmpl,27 bhp,190.5 kg,"₹ 2,35,016"
Triumph Speed 400,3.7,30 Ratings,349 cc,28 kmpl,36.49 bhp,179 kg,"₹ 2,34,296"
EV,TVS iQube,770 Ratings,124.8 cc,35 kmpl,20.2 bhp,129.7 kg,"₹ 1,13,742"
EV,Bajaj Chetak,651 Ratings,124.8 cc,35 kmpl,20.2 bhp,195 kg,"₹ 1,10,922"
Bajaj Pulsar N160,4.6,1217 Ratings,164.82 cc,51.6 kmpl,15.68 bhp,152 kg,"₹ 1,16,504"
TVS Ronin,4.6,1081 Ratings,225.9 cc,42 kmpl,20.1 bhp,160 kg,"₹ 1,28,731"
Royal Enfield Hunter 350,4.7,1562 Ratings,349.34 cc,36.2 kmpl,20.2 bhp,181 kg,"₹ 1,37,648"
Royal Enfield Classic 350,4.7,1302 Ratings,349 cc,35 kmpl,20.2 bhp,195 kg,"₹ 1,85,859"
Royal Enfield Bullet 350,4.7,1493 Ratings,349 cc,35 kmpl,20.2 bhp,195 kg,"₹ 1,64,431"
TVS Raider 125,4.4,2899 Ratings,124.8 cc,56.7 kmpl,11.2 bhp,123 kg,"₹ 85,344"
TVS Apache RTR 160,4.5,3325 Ratings,159.7 cc,61 kmpl,15.82 bhp,138 kg,"₹ 1,09,971"
Yamaha R15 V4,4.8,1519 Ratings,155 cc,46 kmpl,18.1 bhp,141 kg,"₹ 1,71,982"
Honda SP 125,4.6,4405 Ratings,123.94 cc,63 kmpl,10.72 bhp,117 kg,"₹ 89,406"
Yamaha MT 15 V2,4.7,1822 Ratings,155 cc,47 kmpl,18.1 bhp,141 kg,"₹ 1,63,798"
Royal Enfield Continental GT 650,4.8,1498 Ratings,648 cc,25 kmpl,47 bhp,211 kg,"₹ 3,52,687"
Hero Xtreme 125R,4.6,1827 Ratings,124.7 cc,66 kmpl,11.4 bhp,136 kg,"₹ 92,843"
Bajaj Pulsar NS200,4.7,3314 Ratings,199.5 cc,36 kmpl,24.13 bhp,158 kg,"₹ 1,36,755"
Royal Enfield Guerrilla 450,4.5,45 Ratings,452 cc,28 kmpl,39.47 bhp,185 kg,"₹ 2,49,194"
TVS Jupiter 125,4.1,889 Ratings,124.8 cc,50 kmpl,8.04 bhp,108 kg,"₹ 85,125"
Honda Activa,4.4,4124 Ratings,109.51 cc,47 kmpl,7.88 bhp,105 kg,"₹ 78,166"
Royal Enfield Meteor 350,4.7,202 Ratings,349.34 cc,32 kmpl,20.2 bhp,191 kg,"₹ 1,98,646"
Jawa 42 Bobber,4.6,428 Ratings,334 cc,30 kmpl,29.51 bhp,185 kg,"₹ 1,95,313"
TVS Ntorq 125,4.4,2277 Ratings,124.8 cc,48.5 kmpl,9.25 bhp,116 kg,"₹ 88,438"
Royal Enfield Himalayan 450,4.7,382 Ratings,451.65 cc,29 kmpl,39.47 bhp,195 kg,"₹ 3,05,723"
Bajaj Pulsar 125,4.4,1653 Ratings,124.4 cc,50 kmpl,11.64 bhp,140 kg,"₹ 82,420"
Yamaha XSR 155,4.6,222 Ratings,155 cc,46 kmpl,18.1 bhp,137 kg,"₹ 1,50,957"
KTM 250 Duke,4.8,423 Ratings,249.07 cc,31 kmpl,30.57 bhp,162.8 kg,"₹ 2,20,871"
Bajaj Pulsar NS125,4.5,953 Ratings,124.45 cc,46.9 kmpl,11.8 bhp,144 kg,"₹ 94,048"
Suzuki Access 125,4.6,1005 Ratings,Suzuki Access 125,47 kmpl,8.3 bhp,105 kg,"₹ 83,119"
Bajaj Pulsar N250,4.6,405 Ratings,249 cc,44 kmpl,24.1 bhp,162 kg,"₹ 1,38,823"
Harley-Davidson X440,4.8,783 Ratings,440 cc,35 kmpl,27 bhp,190.5 kg,"₹ 2,35,016"
Triumph Speed 400,3.7,30 Ratings,349 cc,28 kmpl,36.49 bhp,179 kg,"₹ 2,34,296"
EV,TVS iQube,770 Ratings,124.8 cc,35 kmpl,20.2 bhp,129.7 kg,"₹ 1,13,742"
EV,Bajaj Chetak,651 Ratings,124.8 cc,35 kmpl,20.2 bhp,195 kg,"₹ 1,10,922"
Bajaj Pulsar N160,4.6,1217 Ratings,164.82 cc,51.6 kmpl,15.68 bhp,152 kg,"₹ 1,16,504"
TVS Ronin,4.6,1081 Ratings,225.9 cc,42 kmpl,20.1 bhp,160 kg,"₹ 1,28,731"
Royal Enfield Hunter 350,4.7,1562 Ratings,349.34 cc,36.2 kmpl,20.2 bhp,181 kg,"₹ 1,37,648"
Royal Enfield Classic 350,4.7,1302 Ratings,349 cc,35 kmpl,20.2 bhp,195 kg,"₹ 1,85,859"
Royal Enfield Bullet 350,4.7,1493 Ratings,349 cc,35 kmpl,20.2 bhp,195 kg,"₹ 1,64,431"
TVS Raider 125,4.4,2899 Ratings,124.8 cc,56.7 kmpl,11.2 bhp,123 kg,"₹ 85,344"
TVS Apache RTR 160,4.5,3325 Ratings,159.7 cc,61 kmpl,15.82 bhp,138 kg,"₹ 1,09,971"
Yamaha R15 V4,4.8,1519 Ratings,155 cc,46 kmpl,18.1 bhp,141 kg,"₹ 1,71,982"
Honda SP 125,4.6,4405 Ratings,123.94 cc,63 kmpl,10.72 bhp,117 kg,"₹ 89,406"
Yamaha MT 15 V2,4.7,1822 Ratings,155 cc,47 kmpl,18.1 bhp,141 kg,"₹ 1,63,798"
Royal Enfield Continental GT 650,4.8,1498 Ratings,648 cc,25 kmpl,47 bhp,211 kg,"₹ 3,52,687"
Hero Xtreme 125R,4.6,1827 Ratings,124.7 cc,66 kmpl,11.4 bhp,136 kg,"₹ 92,843"
Bajaj Pulsar NS200,4.7,3314 Ratings,199.5 cc,36 kmpl,24.13 bhp,158 kg,"₹ 1,36,755"
Royal Enfield Guerrilla 450,4.5,45 Ratings,452 cc,28 kmpl,39.47 bhp,185 kg,"₹ 2,49,194"
TVS Jupiter 125,4.1,889 Ratings,124.8 cc,50 kmpl,8.04 bhp,108 kg,"₹ 85,125"
Honda Activa,4.4,4124 Ratings,109.51 cc,47 kmpl,7.88 bhp,105 kg,"₹ 78,166"
Royal Enfield Meteor 350,4.7,202 Ratings,349.34 cc,32 kmpl,20.2 bhp,191 kg,"₹ 1,98,646"
Jawa 42 Bobber,4.6,428 Ratings,334 cc,30 kmpl,29.51 bhp,185 kg,"₹ 1,95,313"
TVS Ntorq 125,4.4,2277 Ratings,124.8 cc,48.5 kmpl,9.25 bhp,116 kg,"₹ 88,438"
Royal Enfield Himalayan 450,4.7,382 Ratings,451.65 cc,29 kmpl,39.47 bhp,195 kg,"₹ 3,05,723"
Bajaj Pulsar 125,4.4,1653 Ratings,124.4 cc,50 kmpl,11.64 bhp,140 kg,"₹ 82,420"
Yamaha XSR 155,4.6,222 Ratings,155 cc,46 kmpl,18.1 bhp,137 kg,"₹ 1,50,957"
KTM 250 Duke,4.8,423 Ratings,249.07 cc,31 kmpl,30.57 bhp,162.8 kg,"₹ 2,20,871"
Bajaj Pulsar NS125,4.5,953 Ratings,124.45 cc,46.9 kmpl,11.8 bhp,144 kg,"₹ 94,048"
Suzuki Access 125,4.6,1005 Ratings,Suzuki Access 125,47 kmpl,8.3 bhp,105 kg,"₹ 83,119"
Bajaj Pulsar N250,4.6,405 Ratings,249 cc,44 kmpl,24.1 bhp,162 kg,"₹ 1,38,823"
Harley-Davidson X440,4.8,783 Ratings,440 cc,35 kmpl,27 bhp,190.5 kg,"₹ 2,35,016"
Triumph Speed 400,3.7,30 Ratings,349 cc,28 kmpl,36.49 bhp,179 kg,"₹ 2,34,296"
EV,TVS iQube,770 Ratings,124.8 cc,35 kmpl,20.2 bhp,129.7 kg,"₹ 1,13,742"
EV,Bajaj Chetak,651 Ratings,124.8 cc,35 kmpl,20.2 bhp,195 kg,"₹ 1,10,922"
Bajaj Pulsar N160,4.6,1217 Ratings,164.82 cc,51.6 kmpl,15.68 bhp,152 kg,"₹ 1,16,504"
TVS Ronin,4.6,1081 Ratings,225.9 cc,42 kmpl,20.1 bhp,160 kg,"₹ 1,28,731"
Royal Enfield Hunter 350,4.7,1562 Ratings,349.34 cc,36.2 kmpl,20.2 bhp,181 kg,"₹ 1,37,648"
Royal Enfield Classic 350,4.7,1302 Ratings,349 cc,35 kmpl,20.2 bhp,195 kg,"₹ 1,85,859"
Royal Enfield Bullet 350,4.7,1493 Ratings,349 cc,35 kmpl,20.2 bhp,195 kg,"₹ 1,64,431"
TVS Raider 125,4.4,2899 Ratings,124.8 cc,56.7 kmpl,11.2 bhp,123 kg,"₹ 85,344"
TVS Apache RTR 160,4.5,3325 Ratings,159.7 cc,61 kmpl,15.82 bhp,138 kg,"₹ 1,09,971"
Yamaha R15 V4,4.8,1519 Ratings,155 cc,46 kmpl,18.1 bhp,141 kg,"₹ 1,71,982"
Honda SP 125,4.6,4405 Ratings,123.94 cc,63 kmpl,10.72 bhp,117 kg,"₹ 89,406"
Yamaha MT 15 V2,4.7,1822 Ratings,155 cc,47 kmpl,18.1 bhp,141 kg,"₹ 1,63,798"
Royal Enfield Continental GT 650,4.8,1498 Ratings,648 cc,25 kmpl,47 bhp,211 kg,"₹ 3,52,687"
Hero Xtreme 125R,4.6,1827 Ratings,124.7 cc,66 kmpl,11.4 bhp,136 kg,"₹ 92,843"
Bajaj Pulsar NS200,4.7,3314 Ratings,199.5 cc,36 kmpl,24.13 bhp,158 kg,"₹ 1,36,755"
Royal Enfield Guerrilla 450,4.5,45 Ratings,452 cc,28 kmpl,39.47 bhp,185 kg,"₹ 2,49,194"
TVS Jupiter 125,4.1,889 Ratings,124.8 cc,50 kmpl,8.04 bhp,108 kg,"₹ 85,125"
Honda Activa,4.4,4124 Ratings,109.51 cc,47 kmpl,7.88 bhp,105 kg,"₹ 78,166"
Royal Enfield Meteor 350,4.7,202 Ratings,349.34 cc,32 kmpl,20.2 bhp,191 kg,"₹ 1,98,646"
Jawa 42 Bobber,4.6,428 Ratings,334 cc,30 kmpl,29.51 bhp,185 kg,"₹ 1,95,313"
TVS Ntorq 125,4.4,2277 Ratings,124.8 cc,48.5 kmpl,9.25 bhp,116 kg,"₹ 88,438"
Royal Enfield Himalayan 450,4.7,382 Ratings,451.65 cc,29 kmpl,39.47 bhp,195 kg,"₹ 3,05,723"
Bajaj Pulsar 125,4.4,1653 Ratings,124.4 cc,50 kmpl,11.64 bhp,140 kg,"₹ 82,420"
Yamaha XSR 155,4.6,222 Ratings,155 cc,46 kmpl,18.1 bhp,137 kg,"₹ 1,50,957"
KTM 250 Duke,4.8,423 Ratings,249.07 cc,31 kmpl,30.57 bhp,162.8 kg,"₹ 2,20,871"
Bajaj Pulsar NS125,4.5,953 Ratings,124.45 cc,46.9 kmpl,11.8 bhp,144 kg,"₹ 94,048"
Suzuki Access 125,4.6,1005 Ratings,Suzuki Access 125,47 kmpl,8.3 bhp,105 kg,"₹ 83,119"
Bajaj Pulsar N250,4.6,405 Ratings,249 cc,44 kmpl,24.1 bhp,162 kg,"₹ 1,38,823"
Harley-Davidson X440,4.8,783 Ratings,440 cc,35 kmpl,27 bhp,190.5 kg,"₹ 2,35,016"
Triumph Speed 400,3.7,30 Ratings,349 cc,28 kmpl,36.49 bhp,179 kg,"₹ 2,34,296"
EV,TVS iQube,770 Ratings,124.8 cc,35 kmpl,20.2 bhp,129.7 kg,"₹ 1,13,742"
EV,Bajaj Chetak,651 Ratings,124.8 cc,35 kmpl,20.2 bhp,195 kg,"₹ 1,10,922"
Bajaj Pulsar N160,4.6,1217 Ratings,164.82 cc,51.6 kmpl,15.68 bhp,152 kg,"₹ 1,16,504"
TVS Ronin,4.6,1081 Ratings,225.9 cc,42 kmpl,20.1 bhp,160 kg,"₹ 1,28,731"
Royal Enfield Hunter 350,4.7,1562 Ratings,349.34 cc,36.2 kmpl,20.2 bhp,181 kg,"₹ 1,37,648"
Royal Enfield Classic 350,4.7,1302 Ratings,349 cc,35 kmpl,20.2 bhp,195 kg,"₹ 1,85,859"
Royal Enfield Bullet 350,4.7,1493 Ratings,349 cc,35 kmpl,20.2 bhp,195 kg,"₹ 1,64,431"
TVS Raider 125,4.4,2899 Ratings,124.8 cc,56.7 kmpl,11.2 bhp,123 kg,"₹ 85,344"
TVS Apache RTR 160,4.5,3325 Ratings,159.7 cc,61 kmpl,15.82 bhp,138 kg,"₹ 1,09,971"
Yamaha R15 V4,4.8,1519 Ratings,155 cc,46 kmpl,18.1 bhp,141 kg,"₹ 1,71,982"
Honda SP 125,4.6,4405 Ratings,123.94 cc,63 kmpl,10.72 bhp,117 kg,"₹ 89,406"
Yamaha MT 15 V2,4.7,1822 Ratings,155 cc,47 kmpl,18.1 bhp,141 kg,"₹ 1,63,798"
Royal Enfield Continental GT 650,4.8,1498 Ratings,648 cc,25 kmpl,47 bhp,211 kg,"₹ 3,52,687"
Hero Xtreme 125R,4.6,1827 Ratings,124.7 cc,66 kmpl,11.4 bhp,136 kg,"₹ 92,843"
Bajaj Pulsar NS200,4.7,3314 Ratings,199.5 cc,36 kmpl,24.13 bhp,158 kg,"₹ 1,36,755"
Royal Enfield Guerrilla 450,4.5,45 Ratings,452 cc,28 kmpl,39.47 bhp,185 kg,"₹ 2,49,194"
TVS Jupiter 125,4.1,889 Ratings,124.8 cc,50 kmpl,8.04 bhp,108 kg,"₹ 85,125"
Honda Activa,4.4,4124 Ratings,109.51 cc,47 kmpl,7.88 bhp,105 kg,"₹ 78,166"
Royal Enfield Meteor 350,4.7,202 Ratings,349.34 cc,32 kmpl,20.2 bhp,191 kg,"₹ 1,98,646"
Jawa 42 Bobber,4.6,428 Ratings,334 cc,30 kmpl,29.51 bhp,185 kg,"₹ 1,95,313"
TVS Ntorq 125,4.4,2277 Ratings,124.8 cc,48.5 kmpl,9.25 bhp,116 kg,"₹ 88,438"
Royal Enfield Himalayan 450,4.7,382 Ratings,451.65 cc,29 kmpl,39.47 bhp,195 kg,"₹ 3,05,723"
Bajaj Pulsar 125,4.4,1653 Ratings,124.4 cc,50 kmpl,11.64 bhp,140 kg,"₹ 82,420"
Yamaha XSR 155,4.6,222 Ratings,155 cc,46 kmpl,18.1 bhp,137 kg,"₹ 1,50,957"
KTM 250 Duke,4.8,423 Ratings,249.07 cc,31 kmpl,30.57 bhp,162.8 kg,"₹ 2,20,871"
Bajaj Pulsar NS125,4.5,953 Ratings,124.45 cc,46.9 kmpl,11.8 bhp,144 kg,"₹ 94,048"
Suzuki Access 125,4.6,1005 Ratings,Suzuki Access 125,47 kmpl,8.3 bhp,105 kg,"₹ 83,119"
Bajaj Pulsar N250,4.6,405 Ratings,249 cc,44 kmpl,24.1 bhp,162 kg,"₹ 1,38,823"
Harley-Davidson X440,4.8,783 Ratings,440 cc,35 kmpl,27 bhp,190.5 kg,"₹ 2,35,016"
Triumph Speed 400,3.7,30 Ratings,349 cc,28 kmpl,36.49 bhp,179 kg,"₹ 2,34,296"
EV,TVS iQube,770 Ratings,124.8 cc,35 kmpl,20.2 bhp,129.7 kg,"₹ 1,13,742"
EV,Bajaj Chetak,651 Ratings,124.8 cc,35 kmpl,20.2 bhp,195 kg,"₹ 1,10,922"
Bajaj Pulsar N160,4.6,1217 Ratings,164.82 cc,51.6 kmpl,15.68 bhp,152 kg,"₹ 1,16,504"
TVS Ronin,4.6,1081 Ratings,225.9 cc,42 kmpl,20.1 bhp,160 kg,"₹ 1,28,731"
Royal Enfield Hunter 350,4.7,1562 Ratings,349.34 cc,36.2 kmpl,20.2 bhp,181 kg,"₹ 1,37,648"
Royal Enfield Classic 350,4.7,1302 Ratings,349 cc,35 kmpl,20.2 bhp,195 kg,"₹ 1,85,859"
Royal Enfield Bullet 350,4.7,1493 Ratings,349 cc,35 kmpl,20.2 bhp,195 kg,"₹ 1,64,431"
TVS Raider 125,4.4,2899 Ratings,124.8 cc,56.7 kmpl,11.2 bhp,123 kg,"₹ 85,344"
TVS Apache RTR 160,4.5,3325 Ratings,159.7 cc,61 kmpl,15.82 bhp,138 kg,"₹ 1,09,971"
Yamaha R15 V4,4.8,1519 Ratings,155 cc,46 kmpl,18.1 bhp,141 kg,"₹ 1,71,982"
Honda SP 125,4.6,4405 Ratings,123.94 cc,63 kmpl,10.72 bhp,117 kg,"₹ 89,406"
Yamaha MT 15 V2,4.7,1822 Ratings,155 cc,47 kmpl,18.1 bhp,141 kg,"₹ 1,63,798"
Royal Enfield Continental GT 650,4.8,1498 Ratings,648 cc,25 kmpl,47 bhp,211 kg,"₹ 3,52,687"
Hero Xtreme 125R,4.6,1827 Ratings,124.7 cc,66 kmpl,11.4 bhp,136 kg,"₹ 92,843"
Bajaj Pulsar NS200,4.7,3314 Ratings,199.5 cc,36 kmpl,24.13 bhp,158 kg,"₹ 1,36,755"
Royal Enfield Guerrilla 450,4.5,45 Ratings,452 cc,28 kmpl,39.47 bhp,185 kg,"₹ 2,49,194"
TVS Jupiter 125,4.1,889 Ratings,124.8 cc,50 kmpl,8.04 bhp,108 kg,"₹ 85,125"
Honda Activa,4.4,4124 Ratings,109.51 cc,47 kmpl,7.88 bhp,105 kg,"₹ 78,166"
Royal Enfield Meteor 350,4.7,202 Ratings,349.34 cc,32 kmpl,20.2 bhp,191 kg,"₹ 1,98,646"
Jawa 42 Bobber,4.6,428 Ratings,334 cc,30 kmpl,29.51 bhp,185 kg,"₹ 1,95,313"
TVS Ntorq 125,4.4,2277 Ratings,124.8 cc,48.5 kmpl,9.25 bhp,116 kg,"₹ 88,438"
Royal Enfield Himalayan 450,4.7,382 Ratings,451.65 cc,29 kmpl,39.47 bhp,195 kg,"₹ 3,05,723"
Bajaj Pulsar 125,4.4,1653 Ratings,124.4 cc,50 kmpl,11.64 bhp,140 kg,"₹ 82,420"
Yamaha XSR 155,4.6,222 Ratings,155 cc,46 kmpl,18.1 bhp,137 kg,"₹ 1,50,957"
KTM 250 Duke,4.8,423 Ratings,249.07 cc,31 kmpl,30.57 bhp,162.8 kg,"₹ 2,20,871"
Bajaj Pulsar NS125,4.5,953 Ratings,124.45 cc,46.9 kmpl,11.8 bhp,144 kg,"₹ 94,048"
Suzuki Access 125,4.6,1005 Ratings,Suzuki Access 125,47 kmpl,8.3 bhp,105 kg,"₹ 83,119"
Bajaj Pulsar N250,4.6,405 Ratings,249 cc,44 kmpl,24.1 bhp,162 kg,"₹ 1,38,823"
Harley-Davidson X440,4.8,783 Ratings,440 cc,35 kmpl,27 bhp,190.5 kg,"₹ 2,35,016"
Triumph Speed 400,3.7,30 Ratings,349 cc,28 kmpl,36.49 bhp,179 kg,"₹ 2,34,296"
